"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"MMM","3M","Common stocks","Large cap","Industrials","$99,896,107,998","3.39%","16.96","2.83","7.00","Analyze"
"AOS","A O Smith Corp","Common stocks","Large cap","Industrials","$13,175,299,200","1.29%","23.58","3.90","5.81","Analyze"
"ABT","Abbott Laboratories","Common stocks","Large cap","Health Care","$245,774,205,821","1.29%","33.97","5.81","7.15","Analyze"
"ABBV","Abbvie Inc","Common stocks","Large cap","Health Care","$233,355,529,001","3.87%","31.22","4.23","17.36","Analyze"
"ABMD","Abiomed Inc","Common stocks","Large cap","Health Care","$15,623,838,066","0.00%","67.30","16.05","11.57","Analyze"
"ACN","Accenture Plc Class A","Common stocks","Large cap","Information Technology","$265,762,359,555","0.89%","42.84","4.95","12.68","Analyze"
"ATVI","Activision Blizzard Inc","Common stocks","Large cap","Communication Services","$49,926,758,234","0.73%","19.21","5.51","2.99","Analyze"
"ADBE","Adobe Inc","Common stocks","Large cap","Information Technology","$268,680,072,000","0.00%","56.28","17.02","18.34","Analyze"
"AAP","Advance Auto Parts Inc","Common stocks","Large cap","Consumer Discretionary","$14,515,661,654","1.39%","22.39","1.32","4.53","Analyze"
"AMD","Advanced Micro Devices Inc","Common stocks","Large cap","Information Technology","$173,750,992,265","0.00%","44.46","11.70","24.73","Analyze"
"AES","AES Corp","Common stocks","Large cap","Utilities","$15,714,444,950","2.53%","29.02","1.44","4.51","Analyze"
"AFL","Aflac Inc","Common stocks","Large cap","Financials","$37,826,183,562","2.29%","9.01","1.67","1.14","Analyze"
"A","Agilent Technologies Inc","Common stocks","Large cap","Health Care","$47,347,684,954","0.49%","39.38","7.49","8.84","Analyze"
"APD","Air Products And Chemicals Inc","Common stocks","Large cap","Materials","$65,875,722,040","1.95%","31.63","6.38","4.90","Analyze"
"AKAM","Akamai Technologies Inc","Common stocks","Large cap","Information Technology","$18,857,419,051","0.00%","31.23","5.54","4.12","Analyze"
"ALK","Alaska Air Group Inc","Common stocks","Mid cap","Industrials","$6,539,963,763","0.00%","511.08","1.29","1.88","Analyze"
"ALB","Albemarle Corp","Common stocks","Large cap","Materials","$26,346,576,103","0.69%","125.67","7.95","4.68","Analyze"
"ARE","Alexandria Real Estate Equities, Inc","REITs","Large cap","Real Estate","$33,963,535,932","2.00%","36.03","16.97","2.29","Analyze"
"ALGN","Align Technology Inc","Common stocks","Large cap","Health Care","$50,930,408,736","0.00%","69.68","13.56","14.66","Analyze"
"ALLE","Allegion PLC","Common stocks","Large cap","Industrials","$11,324,139,695","1.14%","24.63","3.92","13.21","Analyze"
